track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
29LTZ2Hs6t2pAvQCLDREvo,0.893,0.257,0.219,-14.196,0.0327,142.835,0.0767
2d8JP84HNLKhmd6IYOoupQ,0.0244,0.746,0.873,-3.803,0.128,148.075,0.817
5V5GpAKuuep9cH2uy9s4CN,0.0256,0.718,0.825,-5.063,0.128,150.103,0.549
0w3Q3VFdrYzo24QUIGnBNy,0.00715,0.545,0.763,-5.528,0.407,126.59,0.752
0W1OeXDPntUH0BeyJtE9UM,0.0324,0.635,0.721,-4.811,0.049,148.064,0.499
4xepGpmo2kv2PgRCrkWoCN,0.062,0.841,0.82,-3.946,0.0995,134.007,0.585
0LiteLBEA32FDQ86YZDUgA,0.689,0.708,0.682,-4.546,0.062,130.028,0.534
3ESSGgWzRf1xvP7G5hHMhB,0.0062,0.748,0.733,-4.421,0.072,93.019,0.291
1WoOzgvz6CgH4pX6a1RKGp,0.00419,0.748,0.741,-3.103,0.0531,128.077,0.537
4STnruOS34o1TIMxi9p6KF,0.146,0.778,0.577,-5.313,0.0512,123.977,0.547
2WB4Iip3WXoQPt940zkAAj,0.00776,0.769,0.895,-3.13,0.216,142.091,0.579
1iuljeYz6ZG3GTJOZZkoer,0.00116,0.746,0.764,-5.066,0.0423,137.98,0.518
1QsILO369FaBdl6V9YNFGl,0.00752,0.697,0.676,-3.51,0.0395,136.01,0.372
3wr2fJ91iGjZlrcDLJ6bYp,0.0407,0.681,0.57,-5.829,0.136,135.121,0.153
1Rue04MVaTGF5hPWHcAHIC,0.222,0.784,0.702,-4.723,0.0865,89.962,0.545
7oLQkZscMC02VZysLkC55T,0.237,0.56,0.706,-4.111,0.0582,150.846,0.757
1MZXUaUI0Dre17fdCFjDC3,0.014,0.755,0.699,-4.193,0.0352,130.028,0.311
3ETQmUSbMuf1HiPOO0L08A,0.367,0.61,0.681,-5.237,0.109,153.986,0.322
1VYDjz8U0cak2ZQdaPh6qJ,0.00417,0.606,0.906,-5.147,0.0431,148.024,0.669
5T6B8Xe5xWbcytXUzEZXGK,0.273,0.658,0.744,-5.237,0.11,138.01,0.411
4ftnxHsCH6HF5GWTLCoTGQ,0.0538,0.489,0.558,-7.037,0.36,120.778,0.325
1rDgAHDX95RmylxjgVW9tN,0.172,0.616,0.975,-0.425,0.208,132.054,0.742
5NLUcVnVHfnkt4uUexWdIH,0.0109,0.715,0.78,-6.688,0.0327,115.897,0.838
2Ou1Hyvr08mr0pZauPvv6j,0.00907,0.405,0.894,-7.51,0.0434,119.676,0.295
1HL3yEnYq8LEyFQ3QegA5V,0.122,0.541,0.677,-10.764,0.0373,101.1,0.555
0i2jSWCwjjOVzfnvJJ2Sii,0.00856,0.579,0.935,-5.552,0.0447,114.753,0.75
2nklcPJ3YhYJfC2ibStXz9,0.00199,0.577,0.726,-8.011,0.0299,107.416,0.764
2lDFZOo9ZxG7g7y1FDWx2k,0.106,0.606,0.531,-9.954,0.0337,102.629,0.627
22uGhosSApYImC4ccHry1q,0.00118,0.41,0.879,-6.992,0.0514,120.953,0.677
6ex6gjvDxvHjyzutHmLV7A,0.788,0.723,0.303,-14.889,0.0473,87.078,0.628
3R8APSFlJuawCg1qi5Ed3E,0.142,0.556,0.752,-8.787,0.0341,111.042,0.677
7sxabPG0y5BpVR9w72bMm8,0.49,0.495,0.508,-8.116,0.0256,77.164,0.309
4fXoeBGrVWfNKpdcmL8tw6,0.000496,0.569,0.932,-5.659,0.0388,120.858,0.944
2wQrDUl5XnQFZJfgMGLAEN,0.12,0.59,0.482,-11.552,0.0288,122.117,0.515
7zkLpY72g6lKQbiHDqri1S,0.941,0.526,0.299,-13.797,0.031,156.848,0.679
0AMKZWRgdFfGYYTxiWrwwH,0.694,0.651,0.347,-9.175,0.0341,75.978,0.533
2MKLbFPQ3QDXpQ0KnS06Kl,0.875,0.798,0.234,-10.699,0.0317,103.152,0.403
3T4pMhHBQiDZMb8G9BB9QJ,0.987,0.594,0.0361,-16.062,0.0318,86.101,0.186
3Y99RpBAwKyWy2xdJArADG,0.898,0.634,0.292,-12.285,0.0455,150.909,0.408
3URb74mrpnRWY1HtTBEUKH,0.913,0.617,0.303,-9.954,0.0295,113.572,0.287
4yzFhsULEg65lbA7wjKaAQ,0.747,0.703,0.49,-8.714,0.0638,113.108,0.709
05SZs9JZLaGaXb28qIMV9c,0.866,0.539,0.325,-11.041,0.0321,80.217,0.411
7BboupyTdAr1nmMJZw0V4h,0.977,0.523,0.109,-14.021,0.0312,81.341,0.241
59afPl901jbO8uT8XHgxkq,0.859,0.549,0.342,-11.871,0.0368,124.101,0.363
36614jRE5gbd32fL1yAxv7,0.847,0.763,0.127,-16.937,0.0495,136.901,0.518
6eT08jQH8w5BNfAec85k31,0.848,0.625,0.266,-13.742,0.031,136.11,0.303
16i1XlqGhwkmiSwXvOD752,0.991,0.414,0.0142,-17.802,0.0504,88.779,0.228
1ib9zzAc7DsTdTtp0LFMS0,0.139,0.474,0.459,-13.887,0.0347,171.817,0.407
5A0aUvnfAEcmUx3hoXjI8R,0.0624,0.85,0.513,-10.663,0.0513,99.01,0.623
3UD1XZiA0iP29KI3FuK5Xw,0.102,0.697,0.854,-9.513,0.0797,105.484,0.669
71EHOyEOhNx1SzTebRRyng,0.107,0.693,0.533,-10.954,0.0402,127.661,0.568
4zAxfkmJqsaHqFu1YPMS5a,0.0116,0.621,0.583,-10.127,0.0345,137.534,0.452
5bqLcGZd2rY9wBVXZdGUvT,0.0433,0.609,0.715,-8.524,0.0457,166.048,0.705
1VmXoVzoyD6Jr1dFLcrOTx,0.123,0.735,0.752,-10.688,0.0291,108.093,0.921
1guNRpfQBBkporG5NujlSs,0.0372,0.76,0.612,-9.104,0.069,110.36,0.592
2B8sc82PFB2493l9pdyWct,0.0103,0.896,0.578,-11.903,0.264,102.001,0.364
0EtiqnHgVqLVFocrtbBKNu,0.426,0.575,0.577,-9.766,0.0324,159.076,0.657
1miHnlTDGQSjELPZCrsmCy,0.0106,0.72,0.766,-8.713,0.0505,107.101,0.693
31cN0AvfbDlZzawK7QwgxG,0.0404,0.644,0.645,-11.008,0.0475,157.811,0.896
7rWjIXxMYbmFhEp1yAAVkF,0.000451,0.746,0.78,-9.892,0.0861,101.86,0.677
0K62Ad5H8L8vRtoMiYsWSi,0.799,0.498,0.107,-14.173,0.121,127.148,0.658
7tUEDtHchueeUJTfEFEhii,0.068,0.615,0.72,-5.16,0.0658,94.002,0.696
6ecnv2jSOOKlxY6d9KqQuq,0.722,0.153,0.309,-10.066,0.0323,71.529,0.0708
1vH0VkHWjdFkh0R2hhBh6n,0.982,0.338,0.143,-12.849,0.0368,126.568,0.118
6yISfdj2mq1q9EyPGgnvO1,0.951,0.368,0.245,-9.653,0.026,74.273,0.0399
24kobKjeJdJPXnqaf5hB93,0.805,0.542,0.436,-8.571,0.0273,73.505,0.511
1GTC0DN9LGOdP0NdvoHyX7,0.985,0.346,0.126,-16.89,0.0347,92.959,0.0761
2E6PG98682N48a7oSTpGDY,0.663,0.38,0.439,-8.007,0.029,81.856,0.519
0WtYVwg3sYsiRiVQKbBG9d,0.856,0.614,0.319,-10.392,0.0275,130.19,0.231
1EA40FX9aBaKIXwIp83WzL,0.793,0.632,0.375,-12.115,0.0274,113.94,0.274
3KEh7kUTfPQ7oceOyadDFZ,0.957,0.349,0.14,-14.319,0.035,134.113,0.27
5yhvFjMKanHlLhfhucOZgW,0.764,0.629,0.414,-10.254,0.0272,106.785,0.514
0Sxq0220XBk9Vo9cfHaBVC,0.973,0.321,0.164,-12.959,0.0297,138.637,0.076
348NF6vX0Yh22xvH0EZEro,0.0945,0.911,0.585,-8.078,0.0735,117.06,0.851
2d8JP84HNLKhmd6IYOoupQ,0.0244,0.746,0.873,-3.803,0.128,148.075,0.817
5V5GpAKuuep9cH2uy9s4CN,0.0256,0.718,0.825,-5.063,0.128,150.103,0.549
0w3Q3VFdrYzo24QUIGnBNy,0.00715,0.545,0.763,-5.528,0.407,126.59,0.752
0W1OeXDPntUH0BeyJtE9UM,0.0324,0.635,0.721,-4.811,0.049,148.064,0.499
4xepGpmo2kv2PgRCrkWoCN,0.062,0.841,0.82,-3.946,0.0995,134.007,0.585
0LiteLBEA32FDQ86YZDUgA,0.689,0.708,0.682,-4.546,0.062,130.028,0.534
3ESSGgWzRf1xvP7G5hHMhB,0.0062,0.748,0.733,-4.421,0.072,93.019,0.291
1WoOzgvz6CgH4pX6a1RKGp,0.00419,0.748,0.741,-3.103,0.0531,128.077,0.537
4STnruOS34o1TIMxi9p6KF,0.146,0.778,0.577,-5.313,0.0512,123.977,0.547
2WB4Iip3WXoQPt940zkAAj,0.00776,0.769,0.895,-3.13,0.216,142.091,0.579
1iuljeYz6ZG3GTJOZZkoer,0.00116,0.746,0.764,-5.066,0.0423,137.98,0.518
1QsILO369FaBdl6V9YNFGl,0.00752,0.697,0.676,-3.51,0.0395,136.01,0.372
3wr2fJ91iGjZlrcDLJ6bYp,0.0407,0.681,0.57,-5.829,0.136,135.121,0.153
1Rue04MVaTGF5hPWHcAHIC,0.222,0.784,0.702,-4.723,0.0865,89.962,0.545
7oLQkZscMC02VZysLkC55T,0.237,0.56,0.706,-4.111,0.0582,150.846,0.757
1MZXUaUI0Dre17fdCFjDC3,0.014,0.755,0.699,-4.193,0.0352,130.028,0.311
3ETQmUSbMuf1HiPOO0L08A,0.367,0.61,0.681,-5.237,0.109,153.986,0.322
1VYDjz8U0cak2ZQdaPh6qJ,0.00417,0.606,0.906,-5.147,0.0431,148.024,0.669
5T6B8Xe5xWbcytXUzEZXGK,0.273,0.658,0.744,-5.237,0.11,138.01,0.411
4ftnxHsCH6HF5GWTLCoTGQ,0.0538,0.489,0.558,-7.037,0.36,120.778,0.325
5i04Jy87RLxoZszJqY3QAN,0.624,0.458,0.483,-7.909,0.0366,104.823,0.513
3ts3nBCGF7K9JvSjWVQfX8,0.568,0.536,0.31,-8.041,0.0492,127.597,0.472
4IbOPxstIn2KbdlWf5xRZ0,0.842,0.269,0.239,-10.522,0.03,176.916,0.162
5yHRupjhJzuqxW5WjGTRr7,0.478,0.42,0.548,-7.221,0.0398,77.018,0.471
4fIWvT19w9PR0VVBuPYpWA,0.152,0.615,0.733,-4.808,0.0335,122.58,0.796
6tIMQzqc9PEz5YGahYkdRV,0.248,0.732,0.489,-6.28,0.035,119.974,0.654
0Xwfq9T1CruynQcHKY1hs4,0.277,0.496,0.423,-7.318,0.0282,131.682,0.258
7ovHgp4XrRc2vSyXftHjNN,0.0519,0.674,0.82,-5.158,0.0597,121.001,0.525
1YlCqvmX9P8XlAKPyHyGw1,0.127,0.412,0.394,-6.341,0.0283,68.37,0.359
2zcZYRidtr3SYLsPlxWTz6,0.227,0.632,0.708,-6.165,0.0617,63.136,0.855
